playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,BBM,Bowl Avg,Econ,SR,5w,10w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,
Harmanpreet Kaur,test,AUS Women,2023-2026,2,1,9,0,23,2,Feb-23,Feb-23,11.5,2.55,27,0,0,1,1,0,0,1,1 (1ct 0st),0.25,
Harmanpreet Kaur,test,ENG Women,2014-2023,3,2,8,1,37,0,-,-,-,4.62,-,0,0,0,0,0,0,0,0,0,
Harmanpreet Kaur,test,SA Women,2014-2024,2,4,54.2,15,125,10,May-44,Sep-85,12.5,2.3,32.6,1,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,Econ,5w,10w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,,,,
Smriti Mandhana,Test,AUS Women,2021-2026,3,,,,,,,,,3,3,0,0,3,1 (1ct 0st),0.5,,,,,
Smriti Mandhana,Test,ENG Women,2014-2023,3,,,,,,,,,0,0,0,0,0,0,0,,,,,
Smriti Mandhana,Test,SA Women,2014-2024,2,1,2,0,8,0,4,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,Econ,5w,10w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,,,,
Jemimah Rodrigues,Test,AUS Women,2023-2026,2,1,2,0,13,0,6.5,0,0,3,3,0,0,3,3 (3ct 0st),0.75,,,,,
Jemimah Rodrigues,Test,ENG Women,2023-2023,1,,,,,,,,,2,2,0,0,2,1 (1ct 0st),1,,,,,
Jemimah Rodrigues,Test,SA Women,2024-2024,1,,,,,,,,,1,1,0,0,1,1 (1ct 0st),0.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,BBM,Bowl Avg,Econ,SR,5w,10w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,
Deepti Sharma,Test,AUS Women,2021-2026,3,4,74,17,183,6,Feb-36,Feb-36,30.5,2.47,74,0,0,0,0,0,0,0,0,0,
Deepti Sharma,Test,ENG Women,2021-2023,2,3,40.3,11,104,12,05-Jul,Sep-39,8.66,2.56,20.2,1,0,2,2,0,0,2,1 (1ct 0st),0.666,
Deepti Sharma,Test,SA Women,2024-2024,1,2,66,15,142,4,Feb-47,4/142,35.5,2.15,99,0,0,1,1,0,0,1,1 (1ct 0st),0.5,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,BBM,Bowl Avg,Econ,SR,5w,10w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,
Shafali Verma,Test,AUS Women,2021-2026,3,1,5,2,12,1,01-Dec,01-Dec,12,2.4,30,0,0,0,0,0,0,0,0,0,
Shafali Verma,Test,ENG Women,2021-2023,2,,,,,,,,,3,3,0,0,3,1 (1ct 0st),1,,,,,
Shafali Verma,Test,SA Women,2024-2024,1,1,3,1,7,1,01-Jul,01-Jul,7,2.33,18,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,BBM,Bowl Avg,Econ,SR,5w,10w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,
Richa Ghosh,Test,AUS Women,2023-2026,2,,,,,,,,,0,0,0,0,0,0,0,0,,,,
Richa Ghosh,Test,SA Women,2024-2024,1,,,,,,,,,1,1,0,1,0,1 (1ct 0st),0.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,BBM,Bowl Avg,Econ,SR,5w,10w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,
Yastika Bhatia,Test,AUS Women,2021-2023,2,,,,,,,,,4,4,0,4,0,2 (2ct 0st),1,,,,,
Yastika Bhatia,Test,ENG Women,2023-2023,1,,,,,,,,,1,1,0,1,0,1 (1ct 0st),0.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,BBM,Bowl Avg,Econ,SR,5w,10w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,
Pooja Vastrakar,Test,AUS Women,2021-2023,2,4,53.4,10,155,9,Apr-53,May-93,17.22,2.88,35.7,0,0,0,0,0,0,0,0,0,
Pooja Vastrakar,Test,ENG Women,2021-2023,2,3,27,5,115,5,Mar-23,Apr-62,23,4.25,32.4,0,0,0,0,0,0,0,0,0,
Pooja Vastrakar,Test,SA Women,2024-2024,1,2,25,9,67,1,Jan-35,Jan-67,67,2.68,150,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,BBM,Bowl Avg,Econ,SR,5w,10w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,
Sneh Rana,Test,AUS Women,2023-2026,2,3,61.4,10,183,8,Apr-63,7/119,22.87,2.96,46.2,0,0,3,3,0,0,3,2 (2ct 0st),0.75,
Sneh Rana,Test,ENG Women,2021-2023,2,3,49.2,4,175,6,4/131,4/131,29.16,3.54,49.3,0,0,1,1,0,0,1,1 (1ct 0st),0.333,
Sneh Rana,Test,SA Women,2024-2024,1,2,65.3,16,188,10,Aug-77,10/188,18.8,2.87,39.3,1,1,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,BBM,Bowl Avg,Econ,SR,5w,10w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,
Rajeshwari Gayakwad,Test,AUS Women,2021-2023,2,4,61.4,17,136,2,Feb-42,Feb-71,68,2.2,185,0,0,2,2,0,0,2,1 (1ct 0st),0.5,
Rajeshwari Gayakwad,Test,ENG Women,2023-2023,1,2,11.3,1,45,2,Feb-20,Feb-45,22.5,3.91,34.5,0,0,0,0,0,0,0,0,0,
Rajeshwari Gayakwad,Test,SA Women,2014-2024,2,4,106.4,43,188,7,Apr-54,May-80,26.85,1.76,91.4,0,0,1,1,0,0,1,1 (1ct 0st),0.25,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,BBM,Bowl Avg,Econ,SR,5w,10w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,
Meghna Singh,Test,AUS Women,,1,2,21,2,66,2,Feb-54,Feb-66,33,3.14,63,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,BBM,Bowl Avg,Econ,SR,5w,10w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,
Pratika Rawal,Test,AUS Women,2026-2026,1,,,,,,,,,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,BBM,Bowl Avg,Econ,SR,5w,10w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,
Kashvee Gautam,Test,AUS Women,2026-2026,1,2,13.3,1,66,0,,,,4.88,,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,BBM,Bowl Avg,Econ,SR,5w,10w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,
Kranti Gaud,Test,AUS Women,2026-2026,1,1,22,5,72,2,Feb-72,Feb-72,36,3.27,66,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,BBM,Bowl Avg,Econ,SR,5w,10w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,
Sayali Satghare,Test,AUS Women,2026-2026,1,2,20.4,2,57,4,Apr-50,Apr-57,14.25,2.75,31,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,BBM,Bowl Avg,Econ,SR,5w,10w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,
Renuka Singh,Test,AUS Women,2023-2023,1,2,18,4,67,0,-,-,-,3.72,-,0,0,0,0,0,0,0,0,0,
Renuka Singh,Test,ENG Women,2023-2023,1,2,15,2,62,2,Jan-30,Feb-62,31,4.13,45,0,0,0,0,0,0,0,0,0,
Renuka Singh,Test,SA Women,2024-2024,1,2,17,1,52,0,-,-,-,3.05,-,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Harmanpreet Kaur,ODI,AUS Women,2009-2026,29,11,43.4,0,325,3,Feb-51,108.33,7.44,87.3,0,0,11,11,0,0,11,2 (2ct 0st),0.379,,
Harmanpreet Kaur,ODI,BAN Women,2013-2025,9,1,6,0,30,2,Feb-30,15,5,18,0,0,9,9,0,0,9,3 (3ct 0st),1,,
Harmanpreet Kaur,ODI,ENG Women,2009-2025,28,9,31.5,0,185,1,Jan-24,185,5.81,191,0,0,7,7,0,0,7,1 (1ct 0st),0.25,,
Harmanpreet Kaur,ODI,IRE Women,2012-2017,4,4,12,0,53,0,-,-,4.41,-,0,0,1,1,0,0,1,1 (1ct 0st),0.25,,
