playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
,,,,,,,,,,,,,,,,,
smriti_mandhana,test,vs AUS Women,2021-2026,3,6,1,276,127,55.2,446,61.88,1,1,0,46,1,
smriti_mandhana,test,vs ENG Women,2014-2023,3,6,0,202,78,33.66,384,52.6,0,2,0,33,1,
smriti_mandhana,test,vs SA Women,2014-2024,2,2,0,157,149,78.5,172,91.27,1,0,0,29,1,
,,,,,,,,,,,,,,,,,
harmanpreet_kaur,test,vs AUS Women,2023-2026,2,3,0,30,19,10,36,83.33,0,0,1,6,0,
harmanpreet_kaur,test,vs ENG Women,2014-2023,3,6,1,114,49,22.8,217,52.53,0,0,1,15,0,
harmanpreet_kaur,test,vs SA Women,2014-2024,2,2,0,86,69,43,150,57.33,0,1,0,6,0,
,,,,,,,,,,,,,,,,,
jemimah_rodrigues,test,vs AUS Women,2023-2026,2,4,1,151,73,50.33,235,64.25,0,2,0,21,0,
jemimah_rodrigues,test,vs ENG Women,2023-2023,1,2,0,95,68,47.5,128,74.21,0,1,0,16,0,
jemimah_rodrigues,test,vs SA Women,2024-2024,1,1,0,55,55,55,94,58.51,0,1,0,8,0,
,,,,,,,,,,,,,,,,,
deepti_sharma,test,vs AUS Women,2021-2026,3,5,1,163,78,40.75,407,40.04,0,2,0,19,0,
deepti_sharma,test,vs ENG Women,2021-2023,2,4,1,170,67,56.66,372,45.69,0,2,0,25,1,
deepti_sharma,test,vs SA Women,2024-2024,1,1,1,2,2*,-,7,28.57,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
shafali_verma,test,vs AUS Women,2021-2026,3,6,0,167,52,27.83,271,61.62,0,1,0,26,0,
shafali_verma,test,vs ENG Women,2021-2023,2,4,0,211,96,52.75,318,66.35,0,2,0,30,5,
shafali_verma,test,vs SA Women,2024-2024,1,2,1,229,205,229,227,100.88,1,0,0,26,9,
,,,,,,,,,,,,,,,,,
richa_ghosh,test,vs AUS Women,2023-2026,2,4,0,76,52,19,179,42.45,0,1,1,11,0,
richa_ghosh,test,vs SA Women,2024-2024,1,1,0,86,86,86,90,95.55,0,1,0,16,0,
,,,,,,,,,,,,,,,,,
yastika_bhatia,test,vs AUS Women,2021-2023,2,3,0,23,19,7.66,59,38.98,0,0,0,3,0,
yastika_bhatia,test,vs ENG Women,2023-2023,1,2,0,75,66,37.5,102,73.52,0,1,0,11,1,
,,,,,,,,,,,,,,,,,
pooja_vastrakar,test,vs AUS Women,2021-2023,2,2,0,60,47,30,174,34.48,0,0,0,9,0,
pooja_vastrakar,test,vs ENG Women,2021-2023,2,4,2,51,17*,25.5,140,36.42,0,0,0,11,0,
pooja_vastrakar,test,vs SA Women,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
sneh_rana,test,vs AUS Women,2023-2026,2,3,0,44,30,14.66,119,36.97,0,0,0,5,0,
sneh_rana,test,vs ENG Women,2021-2023,2,4,1,112,80*,37.33,244,45.9,0,1,1,18,0,
sneh_rana,test,vs SA Women,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
rajeswari_gaikwad,test,vs AUS Women,2021-2023,2,1,1,0,0*,-,1,0,0,0,0,0,0,
rajeswari_gaikwad,test,vs ENG Women,2023-2023,1,1,0,0,0,0,5,0,0,0,1,0,0,
rajeswari_gaikwad,test,vs SA Women,2014-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
pratika_rawal,test,vs AUS Women,-,1,2,0,81,63,40.5,180,45,0,1,0,11,0,
,,,,,,,,,,,,,,,,,
kashvee_gautam,test,vs AUS Women,-,1,2,1,34,34*,34,58,58.62,0,0,1,3,0,
,,,,,,,,,,,,,,,,,
kranti_gaud,test,vs AUS Women,-,1,2,1,1,1,1,6,16.66,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
sayali_satghare,test,vs AUS Women,-,1,2,0,10,7,5,56,17.85,0,0,0,1,0,
,,,,,,,,,,,,,,,,,
renuka_singh,test,vs AUS Women,2023-2023,1,1,0,8,8,8,9,88.88,0,0,0,2,0,
renuka_singh,test,vs ENG Women,2023-2023,1,1,0,1,1,1,7,14.28,0,0,0,0,0,
renuka_singh,test,vs SA Women,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
harmanpreet_kaur,odi,vs AUS Women,2009-2026,29,28,3,970,171*,38.8,1108,87.54,1,7,0,105,16,
harmanpreet_kaur,odi,vs BAN Women,2013-2025,9,7,1,280,103,46.66,409,68.45,1,2,0,22,3,
harmanpreet_kaur,odi,vs ENG Women,2009-2025,28,26,4,1025,143*,46.59,1354,75.7,3,6,0,99,13,
harmanpreet_kaur,odi,vs IRE Women,2012-2017,4,1,1,20,20*,,18,111.11,0,0,0,2,0,
harmanpreet_kaur,odi,vs NZ Women,2009-2025,20,17,2,492,71,32.8,663,74.2,0,4,0,46,6,
harmanpreet_kaur,odi,vs PAK Women,2009-2025,6,5,0,74,24,14.8,136,54.41,0,0,0,6,1,
harmanpreet_kaur,odi,vs SA Women,2014-2025,28,25,8,831,103*,48.88,1044,79.59,1,2,1,83,9,
harmanpreet_kaur,odi,vs SL Women,2009-2025,20,15,1,392,75,28,540,72.59,0,2,1,37,4,
harmanpreet_kaur,odi,vs WI Women,2011-2024,20,19,1,457,109,25.38,636,71.85,1,1,2,48,5,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
smriti_mandhana,odi,vs AUS Women,2016-2026,24,24,0,1109,125,46.2,1055,105.11,4,7,1,144,18,
smriti_mandhana,odi,vs BAN Women,2013-2025,7,7,1,218,59,36.33,298,73.15,0,1,0,27,0,
smriti_mandhana,odi,vs ENG Women,2014-2025,21,21,1,1030,91,51.5,1261,81.68,0,9,1,112,11,
smriti_mandhana,odi,vs IRE Women,2025-2025,3,3,0,249,135,83,163,152.76,1,1,0,28,10,
smriti_mandhana,odi,vs NZ Women,2015-2025,16,16,1,625,109,41.66,757,82.56,3,3,1,72,8,
smriti_mandhana,odi,vs PAK Women,2017-2025,3,3,0,77,52,25.66,116,66.37,0,1,0,7,1,
smriti_mandhana,odi,vs SA Women,2014-2025,20,20,1,974,136,51.26,1082,90.01,3,5,1,116,10,
smriti_mandhana,odi,vs SL Women,2014-2025,17,17,2,622,116,41.46,724,85.91,1,5,0,83,6,
smriti_mandhana,odi,vs WI Women,2016-2024,9,9,1,507,123,63.37,532,95.3,2,3,0,64,10,
,,,,,,,,,,,,,,,,,
jemimah_rodrigues,odi,vs AUS Women,2018-2026,14,14,1,515,127*,39.61,538,95.72,1,1,0,56,1,
jemimah_rodrigues,odi,vs BAN Women,2023-2025,4,3,1,129,86,64.5,149,86.57,0,1,0,9,0,
jemimah_rodrigues,odi,vs ENG Women,2018-2025,9,9,0,163,50,18.11,216,75.46,0,1,2,22,0,
jemimah_rodrigues,odi,vs IRE Women,2025-2025,3,3,1,115,102,57.5,103,111.65,1,0,0,14,0,
jemimah_rodrigues,odi,vs NZ Women,2019-2025,7,7,2,243,81*,48.6,259,93.82,0,2,1,29,0,
jemimah_rodrigues,odi,vs PAK Women,2025-2025,1,1,0,32,32,32,37,86.48,0,0,0,5,0,
jemimah_rodrigues,odi,vs SA Women,2019-2025,13,12,1,310,123,28.18,358,86.59,1,1,2,34,1,
