playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
HARMANPREET_KAUR,TEST,Batting First,2014–2026,4,209,69,41.8,0,10,May-44,12.5,1,1,0,29.3,,,,
HARMANPREET_KAUR,TEST,Fielding First,2014–2023,3,21,9,4.2,0,2,Feb-23,30,0,0,0,-25,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
HARMANPREET_KAUR,ODI,Batting First,2009–2026,93,2927,171*,36.13,6,15,Feb-16,57.2,0,33,0,-21.06,,,,
HARMANPREET_KAUR,ODI,Fielding First,2009–2026,71,1614,107*,39.36,1,16,Feb-18,42.18,0,34,0,-2.82,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
HARMANPREET_KAUR,T20,Batting First,2009–2026,98,2261,103,27.91,1,15,03-Nov,28.4,0,31,0,-0.48,,,,
HARMANPREET_KAUR,T20,Fielding First,2009–2026,92,1561,65,31.85,0,17,Apr-23,21.7,0,41,0,10.15,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
SMRITI_MANDHANA,TEST,Batting First,2014–2026,5,364,149,45.5,2,0,-,-,0,2,0,,,,,
SMRITI_MANDHANA,TEST,Fielding First,2014–2023,3,271,78,54.2,0,-,-,-,-,1,0,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
SMRITI_MANDHANA,ODI,Batting First,2013–2026,70,3035,136,43.35,9,1,Jan-13,25,0,25,0,18.35,,,,
SMRITI_MANDHANA,ODI,Fielding First,2014–2026,50,2376,125,55.25,5,0,-,-,0,18,0,-,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Ct,St,Bowl Avg,5w,Ct,St,Avg Diff,,,,
